question,answer,subject,predicate,object
永泰能源股份有限公司的供应商是哪个公司？,常熟招商琴湖投资发展有限公司,永泰能源股份有限公司,供应商,常熟招商琴湖投资发展有限公司
钟诚的年龄是多少？,44,钟诚,年龄,44
渤海租赁股份有限公司的监事是？,王毅,渤海租赁股份有限公司,监事,王毅
天地源股份有限公司的监事是谁？,原学功,天地源股份有限公司,监事,原学功
苏州美生美置业有限公司的债券类型是什么？,券商专项资产管理,苏州美生美置业有限公司,债券类型,券商专项资产管理
渤海租赁股份有限公司的违规类型是？,无,渤海租赁股份有限公司,违规类型,无
韩淑温的年龄多大？,64,韩淑温,年龄,64
山西国新液化煤层气有限公司的分红方式是？,不分配,山西国新液化煤层气有限公司,分红方式,不分配
贵州森瑞管业有限公司的担保是哪个公司？,重庆嘉飞置业有限公司,贵州森瑞管业有限公司,担保,重庆嘉飞置业有限公司
北汽福田汽车股份有限公司的监事是？,尹维劼,北汽福田汽车股份有限公司,监事,尹维劼
上海鑫广科技发展集团有限公司的债券类型是多少？,保险公司债,上海鑫广科技发展集团有限公司,债券类型,保险公司债
赵正斌的年龄是？,47,赵正斌,年龄,47
李柏青的年龄？,44,李柏青,年龄,44
包凤兰的年龄是？,69,包凤兰,年龄,69
济南金泉房地产开发有限公司的董事是谁？,刘燕红,济南金泉房地产开发有限公司,董事,刘燕红
山东公用控股有限公司的信用评级是？,差,山东公用控股有限公司,信用评级,差
天马轴承集团股份有限公司的监事是？,胡亮,天马轴承集团股份有限公司,监事,胡亮
南京裕辰房地产开发有限公司的行业大类是多少？,寿险公司,南京裕辰房地产开发有限公司,行业大类,寿险公司
河北诚信有限责任公司的供应商是谁？,大连东霖食品股份有限公司,河北诚信有限责任公司,供应商,大连东霖食品股份有限公司
苏州天然气管网有限公司的分红方式是？,现金分红,苏州天然气管网有限公司,分红方式,现金分红
甘肃宏良皮业股份有限公司的董事是？,杨文,甘肃宏良皮业股份有限公司,董事,杨文
乔久华的年龄是多少？,44,乔久华,年龄,44
舍弗勒（中国）有限公司的违规类型是什么？,未依法履行其他职责,舍弗勒（中国）有限公司,违规类型,未依法履行其他职责
祁英军的年龄是多少？,34,祁英军,年龄,34
太原星光城房地产开发有限公司的信用评级是多少？,差,太原星光城房地产开发有限公司,信用评级,差
孟州市金玉米有限责任公司的行业大类是啥？,投资公司,孟州市金玉米有限责任公司,行业大类,投资公司
乐山国有资产投资运营（集团）有限公司的信用评级是？,差,乐山国有资产投资运营（集团）有限公司,信用评级,差
嘉善众祥房产开发有限公司的行业大类？,其他,嘉善众祥房产开发有限公司,行业大类,其他
枣庄市恒庆房地产开发有限公司的行业大类是？,资产管理公司,枣庄市恒庆房地产开发有限公司,行业大类,资产管理公司
重庆钢铁股份有限公司的监事？,张文学,重庆钢铁股份有限公司,监事,张文学
泰禾集团股份有限公司的董事？,肖宁,泰禾集团股份有限公司,董事,肖宁
嘉兴钇和置业有限公司的行业大类是？,其他,嘉兴钇和置业有限公司,行业大类,其他
东海证券股份有限公司的行业大类是？,投资公司,东海证券股份有限公司,行业大类,投资公司
义乌市天然气有限公司的行业大类是啥？,其他,义乌市天然气有限公司,行业大类,其他
广东德达实业有限公司的行业大类是多少？,担保公司,广东德达实业有限公司,行业大类,担保公司
北汽福田汽车股份有限公司的董事？,王珠林,北汽福田汽车股份有限公司,董事,王珠林
北汽福田汽车股份有限公司的董事？,徐振平,北汽福田汽车股份有限公司,董事,徐振平
徐州中淮置业有限公司的违规类型是多少？,未按时披露定期报告,徐州中淮置业有限公司,违规类型,未按时披露定期报告
云南云维股份有限公司的行业大类？,资产管理公司,云南云维股份有限公司,行业大类,资产管理公司
河南龙宇房地产开发有限公司的债券类型是啥？,可交换债券,河南龙宇房地产开发有限公司,债券类型,可交换债券
张西峰的年龄是多少？,64,张西峰,年龄,64
张学发的年龄多大？,66,张学发,年龄,66
张琳的年龄多大？,45,张琳,年龄,45
中国银河证券股份有限公司的行业大类是什么？,担保公司,中国银河证券股份有限公司,行业大类,担保公司
柳政的年龄是多少？,48,柳政,年龄,48
云南云维股份有限公司的董事是谁？,滕宗兴,云南云维股份有限公司,董事,滕宗兴
江西长运股份有限公司的监事？,梁广鸿,江西长运股份有限公司,监事,梁广鸿
江苏省建设集团公司的客户是哪家公司？,张家口荣光房地产开发有限公司,江苏省建设集团公司,客户,张家口荣光房地产开发有限公司
贾茜的年龄是多少？,40,贾茜,年龄,40
中铁高新工业股份有限公司的监事？,张文杰,中铁高新工业股份有限公司,监事,张文杰
德清裕达房地产开发有限公司的行业大类是？,资产管理公司,德清裕达房地产开发有限公司,行业大类,资产管理公司
固安孔雀洲房地产开发有限公司的客户是哪家公司？,唐山碧兆房地产开发有限公司,固安孔雀洲房地产开发有限公司,客户,唐山碧兆房地产开发有限公司
深圳市怡亚通商贸有限公司的债券类型？,公司债,深圳市怡亚通商贸有限公司,债券类型,公司债
乔永超的年龄是？,68,乔永超,年龄,68
广州丰泰产业园运营有限公司的信用评级是多少？,差,广州丰泰产业园运营有限公司,信用评级,差
何伟的年龄？,56,何伟,年龄,56
华锐风电科技（集团）股份有限公司的董事是谁？,韩俊良,华锐风电科技（集团）股份有限公司,董事,韩俊良
信阳辰盛置业发展有限公司的收益是多少？,732616,信阳辰盛置业发展有限公司,收益,732616
郑州文华置业发展有限公司的债券类型？,短期融资券,郑州文华置业发展有限公司,债券类型,短期融资券
洪烨的年龄多大？,25,洪烨,年龄,25
启东中邦房地产开发有限公司的违规类型是多少？,无,启东中邦房地产开发有限公司,违规类型,无
瑞茂通供应链管理股份有限公司的董事？,隋智礼,瑞茂通供应链管理股份有限公司,董事,隋智礼
徐成的年龄？,62,徐成,年龄,62
张仁和的年龄是多少？,23,张仁和,年龄,23
杭州文化广播电视集团有限公司的董事是谁？,赵自军,杭州文化广播电视集团有限公司,董事,赵自军
凯迪生态环境科技股份有限公司的董事？,李扬,凯迪生态环境科技股份有限公司,董事,李扬
杭州滨泰投资管理有限公司的债券类型是啥？,可交换债券,杭州滨泰投资管理有限公司,债券类型,可交换债券
林州重机集团股份有限公司的董事？,司广州,林州重机集团股份有限公司,董事,司广州
河南省力量钻石股份有限公司的董事是谁？,齐抗美,河南省力量钻石股份有限公司,董事,齐抗美
江西越和置业有限公司的董事是？,刘延峰,江西越和置业有限公司,董事,刘延峰
深圳市新纶科技股份有限公司的信用评级是？,差,深圳市新纶科技股份有限公司,信用评级,差
重庆主元多式联运有限公司的违规类型是啥？,其它程序违规,重庆主元多式联运有限公司,违规类型,其它程序违规
康得新复合材料集团股份有限公司的董事？,胡静,康得新复合材料集团股份有限公司,董事,胡静
张宛东的年龄是？,49,张宛东,年龄,49
丁欣欣的年龄是？,31,丁欣欣,年龄,31
西安市四腾工程有限公司的董事？,任春雨,西安市四腾工程有限公司,董事,任春雨
新疆北新路桥集团股份有限公司的供应商？,义乌市天然气有限公司,新疆北新路桥集团股份有限公司,供应商,义乌市天然气有限公司
云南云维股份有限公司的债券类型？,证券公司次级债,云南云维股份有限公司,债券类型,证券公司次级债
杨金英的年龄是？,23,杨金英,年龄,23
朱益民的年龄是多少？,24,朱益民,年龄,24
李克强的年龄多大？,49,李克强,年龄,49
正源控股股份有限公司的监事？,黄朝聘,正源控股股份有限公司,监事,黄朝聘
德清裕达房地产开发有限公司的信用评级是多少？,优,德清裕达房地产开发有限公司,信用评级,优
协鑫集成科技股份有限公司的监事是？,周华英,协鑫集成科技股份有限公司,监事,周华英
李仕兵的年龄多大？,33,李仕兵,年龄,33
杭州振泰资产管理有限公司的收益是多少？,9287858,杭州振泰资产管理有限公司,收益,9287858
深圳市怡亚通商贸有限公司的董事是谁？,李正,深圳市怡亚通商贸有限公司,董事,李正
余正春的年龄是多少？,50,余正春,年龄,50
凯迪生态环境科技股份有限公司的董事？,须峰,凯迪生态环境科技股份有限公司,董事,须峰
烟台锦辰房地产开发有限公司的担保是？,普开投资（上海）有限公司,烟台锦辰房地产开发有限公司,担保,普开投资（上海）有限公司
冯芳的年龄是多少？,69,冯芳,年龄,69
陕西沣德置业有限公司的信用评级？,差,陕西沣德置业有限公司,信用评级,差
郑州文华置业发展有限公司的信用评级？,差,郑州文华置业发展有限公司,信用评级,差
林聪的年龄是？,65,林聪,年龄,65
张莹莹的年龄是？,37,张莹莹,年龄,37
国机重型装备集团股份有限公司的董事是？,刘涛,国机重型装备集团股份有限公司,董事,刘涛
中成新星油田工程技术服务股份有限公司的董事是？,刘健,中成新星油田工程技术服务股份有限公司,董事,刘健
广州粤泰集团股份有限公司的分红方式是？,转增,广州粤泰集团股份有限公司,分红方式,转增
浙江诸暨东都房地产开发有限公司的行业大类是多少？,证券公司,浙江诸暨东都房地产开发有限公司,行业大类,证券公司
正源控股股份有限公司的董事？,蔡洪滨,正源控股股份有限公司,董事,蔡洪滨
中南红文化集团股份有限公司的董事是谁？,王锋,中南红文化集团股份有限公司,董事,王锋
吉林利源精制股份有限公司的董事？,沈阳,吉林利源精制股份有限公司,董事,沈阳
张文祥的年龄是多少？,60,张文祥,年龄,60
沈阳机床股份有限公司的董事？,石英,沈阳机床股份有限公司,董事,石英
孔祥云的年龄是多少？,46,孔祥云,年龄,46
青岛润通铭苑置业有限公司的行业大类是什么？,其他,青岛润通铭苑置业有限公司,行业大类,其他
吉林利源精制股份有限公司的监事是？,徐申珅,吉林利源精制股份有限公司,监事,徐申珅
曾树鑫的年龄是？,56,曾树鑫,年龄,56
郑州文华置业发展有限公司的违规类型是？,其它信息披露违规,郑州文华置业发展有限公司,违规类型,其它信息披露违规
吕剑淮的年龄是？,36,吕剑淮,年龄,36
大连东霖食品股份有限公司的债券类型？,超短期融资券,大连东霖食品股份有限公司,债券类型,超短期融资券
博天环境集团股份有限公司的董事是谁？,赵笠钧,博天环境集团股份有限公司,董事,赵笠钧
李祎的年龄是多少？,39,李祎,年龄,39
陈敏的年龄是？,23,陈敏,年龄,23
西安紫薇投资发展有限公司的收入是多少？,6487622,西安紫薇投资发展有限公司,收入,6487622
江苏思源高压开关有限公司的董事是？,袁震,江苏思源高压开关有限公司,董事,袁震
福建正祥投资集团有限公司的违规类型是什么？,无,福建正祥投资集团有限公司,违规类型,无
浙江天工建设集团有限公司的分红方式是什么？,送股,浙江天工建设集团有限公司,分红方式,送股
董琪的年龄是？,64,董琪,年龄,64
永泰能源股份有限公司的监事？,朱新民,永泰能源股份有限公司,监事,朱新民
杨绍兴的年龄是多少？,51,杨绍兴,年龄,51
东阳市横店自来水有限公司的行业大类是啥？,寿险公司,东阳市横店自来水有限公司,行业大类,寿险公司
河南龙宇房地产开发有限公司的违规类型是什么？,违规交易,河南龙宇房地产开发有限公司,违规类型,违规交易
石家庄市财茂投资开发有限责任公司的信用评级？,差,石家庄市财茂投资开发有限责任公司,信用评级,差
杭州萧山三阳房地产投资管理有限公司的信用评级是啥？,差,杭州萧山三阳房地产投资管理有限公司,信用评级,差
协鑫集成科技股份有限公司的董事？,陈传明,协鑫集成科技股份有限公司,董事,陈传明
姜月高的年龄是多少？,30,姜月高,年龄,30
四川交投地产有限公司的信用评级？,优,四川交投地产有限公司,信用评级,优
山东地平置业有限公司的监事是谁？,辛伟民,山东地平置业有限公司,监事,辛伟民
广州粤泰集团股份有限公司的监事是？,陈湘云,广州粤泰集团股份有限公司,监事,陈湘云
潮州华碧投资有限公司的违规类型是什么？,其它程序违规,潮州华碧投资有限公司,违规类型,其它程序违规
南京彧盛置业有限公司的信用评级是什么？,优,南京彧盛置业有限公司,信用评级,优
江西茂阳房地产有限公司的信用评级？,暂无评级,江西茂阳房地产有限公司,信用评级,暂无评级
烟台孚旺置业有限公司的信用评级是？,优,烟台孚旺置业有限公司,信用评级,优
揭阳市和越实业有限公司的担保？,杭州滨祺企业管理有限公司,揭阳市和越实业有限公司,担保,杭州滨祺企业管理有限公司
付磊的年龄是多少？,38,付磊,年龄,38
天地源股份有限公司的董事？,贾新昌,天地源股份有限公司,董事,贾新昌
南京彧盛置业有限公司的担保是哪个公司？,浙江金华山旅游文化投资发展有限公司,南京彧盛置业有限公司,担保,浙江金华山旅游文化投资发展有限公司
深圳蓝光和骏投资有限公司的收益是多少？,4430047,深圳蓝光和骏投资有限公司,收益,4430047
王蓉的年龄？,47,王蓉,年龄,47
北京凯文德信教育科技股份有限公司的董事是？,陈枫,北京凯文德信教育科技股份有限公司,董事,陈枫
太原市龙城发展投资集团有限公司的监事？,黄贵荣,太原市龙城发展投资集团有限公司,监事,黄贵荣
常小刚的年龄是多少？,61,常小刚,年龄,61
哈尔滨工大高新技术产业开发股份有限公司的董事是谁？,韩金生,哈尔滨工大高新技术产业开发股份有限公司,董事,韩金生
元氏县钰泰房地产开发有限公司的行业大类是什么？,寿险公司,元氏县钰泰房地产开发有限公司,行业大类,寿险公司
西安市四腾工程有限公司的违规类型是啥？,未依法履行其他职责,西安市四腾工程有限公司,违规类型,未依法履行其他职责
潍坊潍州投资控股有限公司的违规类型是多少？,未依法履行其他职责,潍坊潍州投资控股有限公司,违规类型,未依法履行其他职责
吴刚的年龄是？,62,吴刚,年龄,62
沈阳机床股份有限公司的董事是谁？,张伟明,沈阳机床股份有限公司,董事,张伟明
北京凯文德信教育科技股份有限公司的监事是谁？,钱建一,北京凯文德信教育科技股份有限公司,监事,钱建一
渤海租赁股份有限公司的董事是？,李军文,渤海租赁股份有限公司,董事,李军文
沈阳惠天热电股份有限公司的行业大类是多少？,其他,沈阳惠天热电股份有限公司,行业大类,其他
哈尔滨秋林集团股份有限公司的行业大类是啥？,投资公司,哈尔滨秋林集团股份有限公司,行业大类,投资公司
淄博来仪置业有限公司的违规类型是多少？,无,淄博来仪置业有限公司,违规类型,无
涂为东的年龄是？,37,涂为东,年龄,37
哈尔滨秋林集团股份有限公司的董事是？,侯勇,哈尔滨秋林集团股份有限公司,董事,侯勇
辛克侠的年龄是多少？,24,辛克侠,年龄,24
曹运武的年龄多大？,24,曹运武,年龄,24
广东欧昊集团有限公司的违规类型是？,违规交易,广东欧昊集团有限公司,违规类型,违规交易
深圳市新纶科技股份有限公司的监事是谁？,曹昕华,深圳市新纶科技股份有限公司,监事,曹昕华
谢洁的年龄多大？,32,谢洁,年龄,32
徐丰贤的年龄？,20,徐丰贤,年龄,20
赵兴龙的年龄是？,63,赵兴龙,年龄,63
梁红梅的年龄是多少？,34,梁红梅,年龄,34
南京裕锦房地产开发有限公司的债券类型是多少？,超短期融资券,南京裕锦房地产开发有限公司,债券类型,超短期融资券
泰禾集团股份有限公司的监事是？,余敦成,泰禾集团股份有限公司,监事,余敦成
张帆的年龄是？,32,张帆,年龄,32
河北古城香业集团股份有限公司的董事？,蒋力,河北古城香业集团股份有限公司,董事,蒋力
王伟的年龄多大？,37,王伟,年龄,37
厦门中玮置业有限公司的信用评级是多少？,优,厦门中玮置业有限公司,信用评级,优
罗典的年龄是多少？,34,罗典,年龄,34
山东东方海洋科技股份有限公司的董事是谁？,吴国芝,山东东方海洋科技股份有限公司,董事,吴国芝
北京蓝天瑞德环保技术股份有限公司的信用评级是？,优,北京蓝天瑞德环保技术股份有限公司,信用评级,优
安通控股股份有限公司的客户是谁？,新郑市裕泰轩房地产开发有限公司,安通控股股份有限公司,客户,新郑市裕泰轩房地产开发有限公司
河南中孚实业股份有限公司的董事是谁？,马路平,河南中孚实业股份有限公司,董事,马路平
江西长运股份有限公司的违规类型是？,业绩预测结果不准确或不及时,江西长运股份有限公司,违规类型,业绩预测结果不准确或不及时
乐视网信息技术（北京）股份有限公司的监事？,吴孟,乐视网信息技术（北京）股份有限公司,监事,吴孟
山西四建集团有限公司的担保？,宝鸡锦灏源置业有限公司,山西四建集团有限公司,担保,宝鸡锦灏源置业有限公司
张俊瑞的年龄？,35,张俊瑞,年龄,35
凯盛家纺股份有限公司的董事？,顾萍,凯盛家纺股份有限公司,董事,顾萍
雏鹰农牧集团股份有限公司的违规类型是啥？,业绩预测结果不准确或不及时,雏鹰农牧集团股份有限公司,违规类型,业绩预测结果不准确或不及时
神雾环保技术股份有限公司的董事？,罗湘楠,神雾环保技术股份有限公司,董事,罗湘楠
泰禾集团股份有限公司的董事是？,洪波,泰禾集团股份有限公司,董事,洪波
Mette Frank的年龄是？,47,Mette Frank,年龄,47
邓爱民的年龄多大？,50,邓爱民,年龄,50
瑞茂通供应链管理股份有限公司的董事是？,黄玉荣,瑞茂通供应链管理股份有限公司,董事,黄玉荣
江苏保千里视像科技集团股份有限公司的监事是谁？,邵春阳,江苏保千里视像科技集团股份有限公司,监事,邵春阳
华锐风电科技（集团）股份有限公司的分红方式是什么？,现金分红,华锐风电科技（集团）股份有限公司,分红方式,现金分红
张宛东的年龄？,49,张宛东,年龄,49
福州臻拓房地产开发有限公司的收入是多少？,4745033,福州臻拓房地产开发有限公司,收入,4745033
曹焰的年龄？,69,曹焰,年龄,69
阮晓峰的年龄是？,22,阮晓峰,年龄,22
元氏县钰泰房地产开发有限公司的信用评级是什么？,暂无评级,元氏县钰泰房地产开发有限公司,信用评级,暂无评级
廖中新的年龄多大？,43,廖中新,年龄,43
林州重机集团股份有限公司的董事是？,胡省三,林州重机集团股份有限公司,董事,胡省三
郭文圣的年龄？,53,郭文圣,年龄,53
山西建筑工程集团有限公司的分红方式是什么？,不分配,山西建筑工程集团有限公司,分红方式,不分配
邯郸交通运输集团有限公司的供应商？,广东德达实业有限公司,邯郸交通运输集团有限公司,供应商,广东德达实业有限公司
高新才的年龄多大？,24,高新才,年龄,24
余蕾的年龄多大？,47,余蕾,年龄,47
南京纺织品进出口股份有限公司的供应商是？,成都招商北湖置地有限公司,南京纺织品进出口股份有限公司,供应商,成都招商北湖置地有限公司
安通控股股份有限公司的客户是哪个公司？,新郑市裕泰轩房地产开发有限公司,安通控股股份有限公司,客户,新郑市裕泰轩房地产开发有限公司
中国石油化工股份有限公司的债券类型是啥？,公司债,中国石油化工股份有限公司,债券类型,公司债
泰山石膏（忻州）有限公司的行业大类是什么？,其他,泰山石膏（忻州）有限公司,行业大类,其他
嘉善裕轩房地产开发有限公司的违规类型是多少？,其它程序违规,嘉善裕轩房地产开发有限公司,违规类型,其它程序违规
山西聚源煤化有限公司的供应商是谁？,淳安千岛湖湖畔旅游开发有限公司,山西聚源煤化有限公司,供应商,淳安千岛湖湖畔旅游开发有限公司
东莞勤上光电股份有限公司的董事？,陈文星,东莞勤上光电股份有限公司,董事,陈文星
广州市品高软件股份有限公司的客户是？,美颐投资置业有限公司,广州市品高软件股份有限公司,客户,美颐投资置业有限公司
青岛恒美置业有限公司的行业大类是多少？,其他,青岛恒美置业有限公司,行业大类,其他
苏州环秀湖旅游发展有限公司的行业大类是？,资产管理公司,苏州环秀湖旅游发展有限公司,行业大类,资产管理公司
王健的年龄多大？,43,王健,年龄,43
福建正祥投资集团有限公司的客户是谁？,浙江德晨旅游开发有限公司,福建正祥投资集团有限公司,客户,浙江德晨旅游开发有限公司
贵州长征天成控股股份有限公司的董事是？,周联俊,贵州长征天成控股股份有限公司,董事,周联俊
刘凤林的年龄多大？,64,刘凤林,年龄,64
金洲慈航集团股份有限公司的收入是多少？,5387623,金洲慈航集团股份有限公司,收入,5387623
中南红文化集团股份有限公司的行业大类？,投资公司,中南红文化集团股份有限公司,行业大类,投资公司
山西建筑工程集团有限公司的信用评级是？,差,山西建筑工程集团有限公司,信用评级,差
厦门金鹭硬质合金有限公司的分红方式是什么？,不分配,厦门金鹭硬质合金有限公司,分红方式,不分配
莆田联涵泰置业有限公司的信用评级是多少？,优,莆田联涵泰置业有限公司,信用评级,优
绍兴仁昌酱园有限公司的信用评级？,优,绍兴仁昌酱园有限公司,信用评级,优
永泰能源股份有限公司的监事是？,王伟,永泰能源股份有限公司,监事,王伟
石永旗的年龄多大？,59,石永旗,年龄,59
郑州亿瀚房地产开发有限公司的信用评级是啥？,差,郑州亿瀚房地产开发有限公司,信用评级,差
聂宏江的年龄？,35,聂宏江,年龄,35
